,smiles,logP,qed,SAS
116,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,0,0
117,O=C(OC1OC(CO)C(O)C(O)C1O)c1cc(O)c(O)c(O)c1,0,0,0
118,O=C(O)CCNC(=O)c1ccccc1,0,0,0
119,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,0,0,0
120,Cn1cnc(C[C@H](N)C(=O)O)c1,0,0,0
121,C[C@H](N)C(=O)NCC(=O)O,0,0,0
122,COc1ccc(-c2oc3cc(O)ccc3c(=O)c2O)cc1O,0,0,0
123,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,0,0,0
124,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,0,0,0
125,C[N+](C)(C)[O-],0,0,0
126,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,0,0,0
127,NCC(CC(=O)O)c1ccc(Cl)cc1,0,0,0
128,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,0,0,0
129,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,0,0,0
130,C/N=C(\NC)NCCC[C@H](N)C(=O)O,0,0,0
131,CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,0,0,0
132,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,0,0,0
133,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,0,0,0
134,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,0,0,0
135,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,0,0,0
136,CC(=O)NC(Cc1ccccc1)C(=O)O,0,0,0
137,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,0,0,0
138,CC(N)C12CC3CC(CC(C3)C1)C2,0,0,0
139,CCCCC/C=C\C/C=C\C/C=C\C=C\[C@@H](O)CCCC(=O)O,0,0,0
140,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,0,0,0
141,C#CCNC(C)Cc1ccccc1,0,0,0
142,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,0,0,0
143,Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O,0,0,0
144,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O,0,0,0
145,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,0,0,0
146,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,0,0,0
147,CC(Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,0,0,0
148,O=C(O)CCCCCCCCC(=O)O,0,0,0
149,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,0,0,0
150,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)c(OC)c3o2)cc1,0,0,0
151,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1,0,0,0
152,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,0,0,0
153,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,0,0,0
154,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,0,0,0
155,N#C[S-],0,0,0
156,Cn1cnc2c1c(O)nc(=O)n2C,0,0,0
157,CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,0,0,0
158,COc1ccc(/C=C/C(=O)O)cc1OC,0,0,0
159,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,0,0,0
160,O=C(O)c1cc(=O)c2ccccc2[nH]1,0,0,0
161,COC(=O)c1ccc(O)cc1,0,0,0
162,CCC(=O)N(c1ccccc1)C1CCNCC1,0,0,0
163,O=C1C=CC(=O)C=C1,0,0,0
164,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1,0,0,0
165,CCOP(O)(=S)OCC,0,0,0
166,CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CCCCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,0,0,0
167,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0,0,0
168,CCCCC(=O)NCC(=O)O,0,0,0
169,COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,0,0,0
170,CC(C)=CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)cc1)O2,0,0,0
171,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0,0,0
172,Cc1ccc(N=C=O)cc1N=C=O,0,0,0
173,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0,0,0
174,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,0,0,0
175,O=C(O)CNC(=O)c1cccc(O)c1,0,0,0
176,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0,0,0
177,Cc1ccccc1C(OCCN(C)C)c1ccccc1,0,0,0
178,NCCc1ccccc1,0,0,0
179,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0,0,0
180,CCc1occc(=O)c1O,0,0,0
181,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0,0,0
182,NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21,0,0,0
183,C/C=C/C(=O)O,0,0,0
184,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,0,0,0
185,CN(C)c1ccc(C=O)cc1,0,0,0
186,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,0,0,0
187,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,0,0,0
188,COc1ccc(-c2coc3cc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)c(OC)cc3c2=O)cc1,0,0,0
189,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0,0,0
190,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,0,0,0
191,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,0,0,0
192,CC(C)(C)c1ccc(O)c(O)c1,0,0,0
193,O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O)c1cc(O)c(O)c(O)c1,0,0,0
194,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0,0,0
195,Nc1ccccc1C(=O)O,0,0,0
196,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,0,0,0
197,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,0,0,0
198,NCC(=O)NCC(=O)O,0,0,0
199,CC1=NN(c2ccccc2)C(=O)C1,0,0,0
200,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,0,0,0
201,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,0,0,0
202,NC(CSSCC(N)C(=O)O)C(=O)O,0,0,0
