,smiles,logP,qed,SAS
125,NC(N)=NN=Cc1c(Cl)cccc1Cl,0,0,0
126,CCC=CCC=CCC=CCCCCCCCC(=O)O,0,0,0
127,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0,0,0
128,CN1C(=O)C(O)C[C@H]1c1cccnc1,0,0,0
129,O=C(CO)C(O)C(O)C(O)C(O)CO,0,0,0
130,O=Cc1ccc(O)cc1,0,0,0
131,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,0,0,0
132,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0,0,0
133,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,0,0,0
134,C=Cc1ccc(O)cc1,0,0,0
135,Cn1c2cccc(=O)c-2nc2ccccc21,0,0,0
136,CS(=O)/C=C/CCN=C=S,0,0,0
137,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0,0,0
138,CC(N)C(O)c1ccccc1,0,0,0
139,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)cc(O)c3c2=O)cc1,0,0,0
140,O=C[C@H](O)[C@H](O)COP(=O)(O)O,0,0,0
141,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)c(OC)cc3c2=O)cc1,0,0,0
142,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0,0,0
143,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc1O,0,0,0
144,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,0,0,0
145,CN(C)CCN(Cc1ccccc1)c1ccccn1,0,0,0
146,O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,0,0,0
147,CC(C)=CCC/C(C)=C/COc1ccc2ccc(=O)oc2c1,0,0,0
148,O=P(O)(O)Oc1ccccc1,0,0,0
149,CC(O)(CC(=O)OC1C(O)CC2(C)C3=C(CCC2C1(C)C)C1(C)CCC(C(CO)CCC(O)C(C)(C)O)C1(C)C(O)C3)C/C(O)=N/CC(=O)O,0,0,0
150,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,0,0,0
151,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1N=c1[nH]c(-c2cccnc2)cs1,0,0,0
152,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,0,0,0
153,OC(=Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F)N=C(O)c1c(F)cccc1F,0,0,0
154,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,0,0,0
155,N=C(N)NCCCCN,0,0,0
156,O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)C1C(C(=O)OC(Cc2ccc(O)c(O)c2)C(=O)O)C(c2ccc(O)c(O)c2)C1c1ccc(O)c(O)c1,0,0,0
157,CN[C@@H](C)[C@@H](O)c1ccccc1,0,0,0
158,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,0,0,0
159,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@H](O)[C@@H]2O,0,0,0
160,CCCS(=O)c1ccc2nc(N=C(O)OC)[nH]c2c1,0,0,0
161,CC1Cc2c(Cl)cc(C(O)=NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,0,0,0
162,CC1=C2C(=CO[C@H](C)[C@H]2C)C(O)=C(C(=O)O)C1=O,0,0,0
163,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,0,0,0
164,CS,0,0,0
165,CC(C)c1ccc(N)cc1,0,0,0
166,CC(C)C[C@H](NC(=O)[C@@H](N)CC(C)C)C(=O)O,0,0,0
167,NC(CCSSCC[C@H](N)C(=O)O)C(=O)O,0,0,0
168,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0,0
169,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,0,0,0
170,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0,0,0
171,O=C(O)C1CCCN1,0,0,0
172,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0,0,0
173,CCCCCCCCCCCCCCCCCCN,0,0,0
174,CC(C)=CC(=O)O,0,0,0
175,c1ccc2cnccc2c1,0,0,0
176,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,0,0,0
177,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O,0,0,0
178,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0,0,0
